,task,num_simulations,num_observation,algorithm,seed,C2ST,C2ST_Z,MMD,MMD_Z,MEDDIST,C2ST_1K,C2ST_1K_Z,MMD_1K,MMD_1K_Z,MEDDIST_1K,NLTP,RT,KSD,KSD_1K,num_simulations_simulator,path,folder
458,two_moons,10000,2,SMC-ABC,3655633044,0.67795,0.7235,0.001470089,0.0014691353,0.095759526,0.5255,0.526,0.0020411015,0.0020405054,0.09236331,,0.14459740320841472,inf,inf,10000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/11-01-37/4,4
459,two_moons,100000,7,SMC-ABC,1529502278,0.50035,0.626,-2.7418137e-05,-2.7179718e-05,0.09015602,0.4885,0.5795,-0.00062966347,-0.0006297827,0.09291223,,0.05495784282684326,inf,inf,100000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/11-01-37/20,20
460,two_moons,10000,4,SMC-ABC,2089181709,0.648,0.72005,0.013646781,0.013646543,0.09687784,0.5445,0.6135,0.009430289,0.0094406605,0.09790567,,0.028266215324401857,inf,inf,10000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/11-01-37/10,10
461,two_moons,1000,9,SMC-ABC,3731733402,0.8935,0.9345,0.018492341,0.018491626,0.15134269,0.8705,0.927,0.017094612,0.01709497,0.15164942,,0.009589378039042156,,,1000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/11-01-37/24,24
462,two_moons,1000,5,SMC-ABC,2861728733,0.9615,0.9623,0.0027581453,0.002758503,0.21445233,0.9575,0.9575,0.0036695004,0.0036696196,0.22087812,,0.008037245273590088,,,1000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/11-01-37/12,12
463,two_moons,1000,8,SMC-ABC,2160023952,0.7608,0.86655,0.0038477182,0.0038614273,0.10955486,0.5955,0.8425,0.0013219118,0.0013099909,0.10744777,,0.008707912762959798,inf,inf,1000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/11-01-37/21,21
464,two_moons,100000,1,SMC-ABC,2366934846,0.5645,0.64655,7.4625015e-05,7.4625015e-05,0.0952972,0.4995,0.503,-0.0004336834,-0.0004336834,0.09033588,,0.18728248278299967,inf,inf,100000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/11-01-37/2,2
465,two_moons,10000,9,SMC-ABC,3429818986,0.67285,0.7284,0.00789386,0.007891715,0.09085814,0.5295,0.592,0.0069366097,0.0069340467,0.09259051,,0.032455718517303465,inf,inf,10000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/11-01-37/25,25
466,two_moons,100000,2,SMC-ABC,1862537702,0.50285,0.6441,0.00019407272,0.0001938343,0.09277311,0.481,0.4845,-0.0003077984,-0.00030827522,0.09166156,,0.19266681671142577,inf,inf,100000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/11-01-37/5,5
467,two_moons,10000,3,SMC-ABC,4209048131,0.5959,0.70345,0.0010851622,0.001085043,0.09764062,0.5095,0.6405,-0.00013923645,-0.0001411438,0.10069419,,0.13248496055603026,inf,inf,10000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/11-01-37/7,7
468,two_moons,1000,1,SMC-ABC,2842348080,0.89655,0.91285,0.015604019,0.01560235,0.15651706,0.872,0.89,0.015665412,0.015659332,0.15418474,,0.12139373620351156,inf,inf,1000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/11-01-37/0,0
469,two_moons,100000,3,SMC-ABC,2609535070,0.5617,0.66385,0.00010538101,0.00010538101,0.09286946,0.5245,0.589,0.00039827824,0.00040507317,0.09206635,,0.1819767157236735,inf,inf,100000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/11-01-37/8,8
470,two_moons,100000,6,SMC-ABC,722572265,0.5559,0.70195,2.8848648e-05,2.861023e-05,0.093894534,0.4885,0.546,-0.00035619736,-0.00035607815,0.0928438,,0.06229750315348307,inf,inf,100000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/11-01-37/17,17
471,two_moons,1000,6,SMC-ABC,1674884043,0.9154,0.93535,0.007443905,0.00744462,0.17308304,0.8865,0.927,0.007257223,0.0072592497,0.17177257,,0.005362443129221598,inf,inf,1000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/11-01-37/15,15
