task,num_simulations,num_observation,algorithm,C2ST,MMD,MEDDIST,NLTP,RT,KSD,folder
sir,10³,9,1000 2 .8,0.9986,0.5626161999999999,332.6199,,0.4076511383056641,19.67574497679231,0f7a8940-f0b6-4860-abc6-d81872711996
lotka_volterra,10³,6,100 .5 .5 KDE,1.0,0.5736828,109.27721,,0.5272274335225423,24.317570510783487,1cc38017-9ac6-42b4-b1bb-9a43ba40751a
lotka_volterra,10⁴,10,1000 2 .2,1.0,0.5814835,123.97555,,1.2547158559163412,22.901497519064932,5575e00f-ed8a-4ee9-ba7e-2b6118f46c49
two_moons,10⁴,9,100 2 .5 KDE,0.78195,0.0032528640000000003,0.09483634,,0.039968132972717285,inf,a6705d47-cf02-4be0-8c3f-0e24ce913e4f
gaussian_linear,10⁵,4,100 2 .8,0.99715,0.08424628,1.7467473000000002,,0.10335582892100016,12.99947154906128,0f1d7942-adbe-4237-9a6c-6812404bf3e1
sir,10⁴,6,1000 2 .2 KDE,0.93875,0.39147085,68.253204,,0.8681697845458984,17.557762328800347,88cc2c25-e762-4182-87d1-5c4ec46611b5
gaussian_linear_uniform,10⁴,8,1000 2 .5,0.9949,0.33959252,2.2782557,,0.0624906341234843,7.305826654020836,627ce4f0-b837-4fc0-b743-c04518f3bafc
two_moons,10³,10,100 .5 .5 KDE,0.92305,0.047655106,0.15239224,,0.029052352905273436,inf,13d6e5aa-618a-41bf-aa4f-e615ca977102
slcp,10⁴,10,1000 2 .2 KDE,0.96275,0.21824121,4.9782953,,0.060327859719594326,34.714910096355084,765d6c86-e700-4506-a9c2-4e73223b16f0
slcp_distractors,10⁵,3,100 .5 .2,0.9998,0.09890437,385.9798,,2.0341309865315758,,c622047c-5dba-4f89-8de1-1b6cb38b04fa
gaussian_linear_uniform,10⁴,4,100 2 .2 KDE,0.87545,0.07597518,1.7551381999999998,,0.13341019948323568,5.718386120442423,25fa1b0e-18cd-46ed-a717-1a2f852c92e8
slcp_distractors,10⁴,7,1000 .5 .2,0.99885,0.13381207,1076.6826,,0.20016078948974608,,3bbd6e30-1fd2-4e8a-9d4c-bed318825827
bernoulli_glm_raw,10⁴,3,100 2 .2 KDE,0.97285,0.24113151,4.472136,,0.05911214749018352,11.044238280830273,cc7a55cd-e995-4213-90b6-f648489ccb64
slcp,10⁴,2,100 .5 .5,0.99835,0.11623061,20.92171,,0.03663729031880696,40.090831074404825,d8116bcc-0641-4454-89ef-35e60a805b4d
gaussian_linear,10³,3,100 .5 .8,0.9971,0.13458717,1.6757498,,0.015746466318766274,13.382173999485365,d146c6c7-b95d-477a-908f-09adb3dacd1f
bernoulli_glm,10⁴,10,100 2 .5 KDE,0.9185,0.20307195,20.812,,0.06722274621327719,10.72679279242418,f0efdd11-e7cd-454a-942a-a1d4f5340a33
bernoulli_glm_raw,10⁵,3,1000 .5 .2,0.9833,0.2016409,4.358899,,0.3514341990152995,9.592457969105716,d2490298-3318-449f-9e9f-cc972c5350e2
slcp,10⁵,4,1000 2 .2,0.9923,0.10212505,2.4087822,,0.10365864435831704,31.64323462751721,ce747669-21de-4e85-9ade-a1a065f33253
sir,10⁴,2,100 2 .2,0.7738,0.068266094,23.021729,,0.8284041086832682,15.631810920956907,e524735d-dad8-4fad-abf2-05b0f3def339
gaussian_linear_uniform,10³,2,1000 .5 .5,0.99925,0.47734186,2.9675505,,0.01193249225616455,7.165016931856743,a67d6769-beec-406a-a2d9-a399e4c66cf7
gaussian_linear,10⁵,5,100 .5 .8,0.99965,0.09604454,1.2256844999999998,,0.04879721800486247,12.753351791922235,053dde3d-a785-46e7-85e8-cf3e57a5b4a2
gaussian_mixture,10⁴,2,100 2 .2 KDE,0.7871,0.0042608976,0.83709216,,0.03213359912236532,9.291104450168662,85251b21-c470-42e3-a594-b0e2e66afee0
gaussian_linear,10³,1,100 .5 .5 KDE,0.92865,0.17697006,1.9367087,,0.02011755704879761,13.37916883568172,70652fd2-8e36-46a9-9a70-59056efe62a6
lotka_volterra,10³,4,1000 .5 .5,1.0,0.5569997,623.1062,,0.4633720715840658,24.539409966893487,1a47f97f-6b89-4aed-8f08-87ec214637a1
gaussian_linear,10³,6,1000 2 .8,0.98295,0.17083883,1.7975183,,0.013506317138671876,13.237904007414064,630a2da6-e645-4ae0-8513-585a3e9292dd
gaussian_mixture,10⁴,6,1000 2 .8 KDE,0.8514,0.4214625,2.9976501,,0.07501548131306966,11.062223914237617,5d050822-12bb-4dd7-825f-18541a2f1852
sir,10³,7,100 2 .5,0.9935,0.45905235,75.3923,,0.4313886642456055,20.293526837321966,8cce96ec-02cd-4426-b896-5805dbd6b0d7
two_moons,10⁵,10,1000 2 .2,0.6114,9.8228455e-05,0.09156044,,0.08589951197306316,inf,91ca6998-1b38-4064-910a-6ee373684f2d
