task,num_simulations,num_observation,algorithm,C2ST,MMD,MEDDIST,NLTP,RT,KSD,folder
lotka_volterra,10⁵,4,SNLE-MAF,0.8322,0.07691556,113.75649,,100.90697428385415,25.261245027094148,f2aad7ca-f20e-4fad-9e96-388435df4cf3
slcp_distractors,10⁴,8,SNLE-MAF,0.94595,0.15156186,426.8662,,34.17920735677083,,e79c2d13-db5f-46d8-a593-62627a624412
gaussian_mixture,10⁵,7,NLE-NSF,0.5489999999999999,-0.0021196604,0.99310875,,23.172705078125,9.611455967989246,0ad080c2-31be-420a-9deb-a52f9d5b5f53
sir,10⁴,6,NLE-MAF,0.68385,0.08006811,25.514702,,13.675384521484375,15.605813633832856,cdb8a3c8-7a70-482d-9cba-945883846a63
lotka_volterra,10³,8,NLE-NSF,0.99785,0.51396453,80.45097,,,18.884763252912983,d584bafa-3f56-4ccb-8bf8-377453801e43
bernoulli_glm_raw,10⁵,4,NLE-NSF,0.88665,0.2150675,3.8729835,,488.6854166666666,11.195746196379206,3044ecac-8950-4834-b973-0c646a944dd5
slcp_distractors,10⁵,7,NLE-NSF,0.98275,0.21926296,1077.4976,,1429.0666666666666,,1c931aad-98ac-4c43-ba09-a0755c4ee2db
slcp_distractors,10³,10,SNLE-NSF,0.9928,0.7317668,351.15735,,196.078271484375,,d0a3fd5f-213c-4028-a029-42ab78e72916
bernoulli_glm_raw,10⁵,8,SNLE-NSF,0.94995,0.27489334,4.1231055,,1392.588671875,11.221887367360498,9d762480-d97f-48e7-a830-919ea825ed55
lotka_volterra,10⁵,5,NLE-NSF,0.98245,0.3840714000000001,32.218975,,124.84856770833332,21.804264444825925,eed86473-baac-4b42-b2c3-9dc9f8dc7b4c
bernoulli_glm_raw,10⁴,8,SNLE-MAF,0.99105,0.74009854,3.4641016,,47.92764078776042,11.72828322552322,d86ee249-416b-4368-9735-a71c643c40e9
bernoulli_glm_raw,10⁴,7,SNLE-MAF,0.9474,0.28924584,4.7958317,,48.9484130859375,12.155491623732054,784f6b55-f576-44c0-9f2c-b7eae6c91791
sir,10⁴,10,SNLE-MAF,0.81035,0.22529459,45.127594,,11.366356404622396,15.5047823254945,91dd8d4a-4b50-458f-903d-90fcb5c21b4a
sir,10³,2,NLE-MAF,0.79175,0.2237938,29.180471,,4.205772908528647,16.317509711731187,de3dabd7-87a6-49f8-be4d-820f25d4b092
lotka_volterra,10⁴,5,SNLE-MAF,0.66935,0.039294124,14.794565,,18.24440714518229,17.841563145870744,705abf57-3f36-4d3c-97dd-b1a2da140fce
sir,10⁴,8,SNLE-NSF,0.91355,0.3629837,68.64401,,36.94104817708333,18.75333211894111,39c09a5e-c34b-46f6-b845-98f7f80b5e0e
gaussian_linear_uniform,10⁵,9,NLE-MAF,0.5003,0.0002721548,1.293093,,25.78768513997396,3.4027634880104958,952fa8a6-e932-413f-ac72-1a150da44f78
gaussian_linear_uniform,10³,4,SNLE-NSF,0.7286,0.05293274,1.6208428,,82.62943522135417,6.4819089272116255,bb232db3-d716-4ddd-9528-f777beb84c34
slcp_distractors,10³,10,SNLE-MAF,0.9724,0.24677336,351.50598,,25.24748331705729,,4610f6ff-93df-407a-938b-be84ed255deb
gaussian_linear,10³,7,SNLE-NSF,0.6974,0.037847757,1.5208793,,72.80514322916666,11.76744023336194,883d4466-33e3-4d32-9366-5617e9059005
slcp,10⁵,4,SNLE-MAF,0.5987,0.001625061,3.4932253,,74.57364908854167,18.6444988197238,69bfd320-e43b-4e46-8c5e-69f6564e37fc
bernoulli_glm,10³,9,NLE-NSF,0.8212,0.18741035,11.113999,,34.971577962239586,11.460781640563493,a00f794b-2202-43d6-baba-7fc113fbe4d1
lotka_volterra,10³,4,NLE-NSF,1.0,0.6418815,707.0210000000002,,27.04480794270833,24.39617570327327,a793ebe7-23f5-463c-9a33-0607fe775002
bernoulli_glm,10³,4,SNLE-NSF,0.6983,0.078740716,10.787409,,75.80423177083334,11.562970460556926,b4ac80ca-32b4-4fff-a0e8-b2453eae4c2d
gaussian_mixture,10³,4,NLE-NSF,0.72075,0.037314177,0.2941302,,8.600368245442708,10.860147952646427,6fb1efea-8f43-46d1-ac38-82510ca7d609
slcp_distractors,10³,7,SNLE-MAF,0.99965,0.431471,1077.0002,,29.352606201171874,,c20cb806-876d-49c3-801a-e8193b7cdeca
lotka_volterra,10³,8,SNLE-NSF,0.9724,0.31551406,47.30342,,,20.491440142164365,1fd37258-d443-47cb-bb01-7ef0599c806b
gaussian_mixture,10³,5,NLE-MAF,0.7912,0.21444637,1.868556,,3.0446103413899737,11.326813935293586,b3b20a0b-d34c-442f-b139-a62d9ad01f4c
lotka_volterra,10³,10,SNLE-NSF,0.9942,0.5532961999999999,122.71991,,52.24072265625,24.99479440632577,9974c68d-87a7-4caa-a7b0-f627596b753e
sir,10⁴,6,SNLE-NSF,0.9688,0.48830405,126.24579,,34.01107991536458,18.14601110799916,12233d40-4c59-4fcf-8630-b7abd373c25e
lotka_volterra,10⁴,1,SNLE-MAF,0.774,0.009965777,6.3684650000000005,,,19.907667140313638,c8992cc2-dd94-4609-8586-916a366d3ea4
gaussian_linear_uniform,10⁴,9,NLE-NSF,0.59335,0.007918596,1.3720248,,38.93165690104167,5.062907009673647,b49cbd62-3bd3-4871-a868-a24d339d984d
lotka_volterra,10⁴,4,NLE-MAF,1.0,0.596057,386.84418,,17.573356119791665,22.520556729605666,506fa8eb-a538-4a0c-8809-b50e9f8252f7
gaussian_linear,10⁵,1,NLE-NSF,0.504,0.0011818409,1.4370532,,60.836328125,8.526939204368222,9889dfb1-e60d-4b42-9cda-a89d52cfae74
gaussian_mixture,10⁵,4,NLE-NSF,0.55145,-0.0012506247,0.85456306,,21.47218017578125,11.861260205903955,624053dc-2869-4287-93c2-396832ee8b0d
lotka_volterra,10⁴,6,SNLE-NSF,0.9742,0.45860964,28.011887,,67.42270914713542,18.77069705833988,4b9f2e19-7e23-4849-bd1a-25372699579a
