task,num_simulations,num_observation,algorithm,C2ST,MMD,MEDDIST,NLTP,RT,KSD,folder
gaussian_linear,10⁵,4,NPE-MAF,0.52385,0.0036911964,1.5509117,1.2223587036132812,,9.718137133366158,004696d4-1fe6-4eef-8f17-da9fd2da5a04
bernoulli_glm_raw,10⁵,2,NPE-MAF,0.61185,0.045854926,4.358899,6.983932495117188,,11.75890062022315,3eed7570-6213-4da7-8c73-5fe51180b001
lotka_volterra,10⁵,6,NPE-NSF,0.9802,0.48507366,27.708633000000006,-15.913853645324707,106.10575358072916,18.843726208018285,2f8507f5-19a5-40bb-a580-969a1993bcfd
gaussian_mixture,10³,6,SNPE-NSF,0.6908,0.021424055,1.2724355,,2.12718989054362,11.493792287542473,2d3fe653-15ba-4ab7-95f7-6e0dec356bf5
two_moons,10³,2,NPE-MAF,0.74035,0.00911665,0.101997584,-2.1091232299804688,,,8a12c9a1-1189-4c33-bcda-2bba2db0414a
lotka_volterra,10⁴,9,NPE-MAF,0.9705,0.42731804,34.56732,-15.044941902160645,,20.753017824409987,e4ac55d4-604b-47f0-bd89-83ddc1149db0
bernoulli_glm,10³,7,SNPE-MAF,0.63475,0.010092616,13.185925,,,12.082071410632825,41086095-6239-43be-a87e-a820b871b7c6
lotka_volterra,10³,4,NPE-NSF,0.9998,0.6291730999999999,479.35034,-5.910239219665527,1.0547626495361329,25.234787322109238,cf413fce-9d60-4148-b984-5892b1cb602c
slcp_distractors,10⁴,8,NPE-MAF,0.979,0.08171809,425.0116,7.1958250999450675,,,f202ebda-d326-48a6-bc2f-5634ffc540f0
bernoulli_glm_raw,10⁵,3,NPE-MAF,0.6445,0.08759725,4.0,5.186112403869629,,11.72548342609678,ccbe19ce-c69a-4250-affe-3aed75b1edb0
bernoulli_glm_raw,10⁴,10,SNPE-MAF,0.65245,0.03639102,5.477226,,,12.054222891541604,6d0fe008-6959-4c17-aa7b-80eee4f1de5b
slcp_distractors,10⁵,3,NPE-NSF,0.80115,0.012385607,386.07156,5.109114170074463,71.863671875,,3a2dcba8-353c-4972-a64b-53381b898384
slcp_distractors,10⁵,6,NPE-NSF,0.8633,0.013299704,344.58337,4.29286527633667,70.61410319010416,,d22b28a4-6dbd-4d51-a785-e92d63c713e1
