task,num_simulations,num_observation,algorithm,C2ST,MMD,MEDDIST,NLTP,RT,KSD,folder
gaussian_linear_uniform,10⁴,9,SMC-ABC,0.9221,0.1229707,1.2891097,,0.03570570945739746,9.480880659947617,4412b3e5-575f-4ad3-bc34-e77c21d26d9c
bernoulli_glm_raw,10³,9,REJ-ABC,0.9936,0.4161293,5.0,,0.024520774682362877,10.051342311726119,f4b11250-7082-4137-a331-9437bf22a259
two_moons,10⁴,7,RF-ABC,0.90375,0.06750131,0.15729368,,0.4331438700358073,,b1b160fd-6285-41f6-a430-b92c73e40faf
gaussian_mixture,10⁵,8,SMC-ABC,0.6838,0.012941837,1.0410627,,0.16193726857503254,8.671342785528621,26425da3-2965-4fae-8a06-499144d4b15a
lotka_volterra,10⁴,7,REJ-ABC,1.0,0.6079823000000001,42.302887,,1.2807537078857425,19.444411894984672,d5e61db4-9968-4931-9c5a-6656f9cdf819
gaussian_linear,10⁴,4,SMC-ABC,0.9317,0.24342704,1.7493066000000002,,0.028664414087931318,13.998929845364795,3c5f4cdf-6647-47ef-903d-c6235b9f3b13
slcp,10³,7,REJ-ABC,0.9898,0.07653344,27.47265,,0.02048043807347616,40.120928191217885,5a21fcd0-0cc5-4002-933c-5c1735ecbeb4
slcp_distractors,10³,2,RF-ABC,0.97425,0.115410686,380.54306,,0.7988245010375976,,291529f0-067e-4fc8-8df0-75685dbdafcd
slcp_distractors,10⁵,8,REJ-ABC,0.9928,0.24886220000000006,424.5282,,1.8224366505940757,,92b18c19-76de-4ecf-a6a2-020f931f74bd
bernoulli_glm_raw,10⁴,6,RF-ABC,0.92685,0.16972798,,,29.204764811197915,11.276559633309393,01144548-c315-47b9-82ed-841e704ab225
slcp,10⁵,1,RF-ABC,0.94975,0.029066563,19.206814,,71.0539794921875,35.15350052211529,6e370f9a-cc3b-4f23-acd7-78aa6bcf1445
sir,10⁴,1,RF-ABC,0.7877,0.11759031,27.239677,,1.199178949991862,15.752344715962813,937e6502-02ac-4947-9865-ce5e3012b1ac
slcp,10⁵,6,RF-ABC,0.9036,0.016419053,11.233973,,70.55313313802084,36.63467576057741,5e84baa6-7d33-45f9-9a77-6799a6b2f396
slcp_distractors,10³,3,REJ-ABC,0.98705,0.09788716,387.43924,,0.03956833680470785,,27277d73-b3cb-4abd-9bef-b0bbab115977
bernoulli_glm_raw,10³,4,RF-ABC,0.95525,0.10725838,,,0.8630736668904623,12.35776161211191,16a0ef83-e7e6-47b1-a80e-73e9c109fb1f
sir,10³,7,RF-ABC,0.9115,0.18354851,63.855305,,0.44373222986857097,19.757109081123183,78ff1881-cddd-4c64-93e4-04e88534fc6f
sir,10⁴,6,RF-ABC,0.7937,0.06685662,37.709415,,1.1998650868733725,17.884911259369144,d83c7779-8fcb-4be5-83f2-340b6cf76c1b
gaussian_mixture,10⁴,10,RF-ABC,0.78965,0.20273209,1.659409,,0.4360829035441081,9.453136264784424,82b161d0-7d33-4db3-9342-0ca236836e1d
slcp,10³,2,RF-ABC,0.9655,0.14751935,21.86935,,0.08847339948018391,40.074494947917216,b778c92f-0d29-4589-8885-d8079142556e
bernoulli_glm,10⁴,8,RF-ABC,0.9092,0.13384092,,,3.6606089274088536,12.169632702449501,99400cd0-2391-4798-833d-7f098181edea
bernoulli_glm_raw,10⁵,4,SMC-ABC,0.91035,0.098144114,3.8729835,,0.4431720097859701,10.092289938317263,4abd5406-4914-40bf-9b7d-5801c0b86237
slcp_distractors,10⁴,7,REJ-ABC,0.99355,0.13354492,1076.8687,,0.2166226069132487,,58ab04ba-4b48-4aae-8d94-4dd0f16ea52c
gaussian_linear_uniform,10⁵,4,SMC-ABC,0.76045,0.027501583,1.5810392,,0.1948675791422526,5.612976416051557,05745890-e7b3-4d8b-a4d5-eab345663df3
gaussian_mixture,10³,2,RF-ABC,0.8038,0.22514045,1.9510927,,0.024733662605285645,9.457112321024473,2ce5dc27-a822-4270-96fa-e8e2fc6d62a4
slcp_distractors,10⁵,2,REJ-ABC,0.9909,0.27553886,379.4286,,1.9200181325276693,,2cd12b34-ae24-449b-8177-79ad8733a67d
lotka_volterra,10⁴,4,REJ-ABC,0.9997,0.5538099,,,1.309396235148112,,80a1023e-5336-461b-b82c-1df3ba8f0086
gaussian_mixture,10³,7,SMC-ABC,0.8192,0.21152359,1.7805667,,0.0238587737083435,9.217578314757144,8049aa5f-ed8e-4f80-9c7d-fb8d7764f3be
bernoulli_glm_raw,10⁴,5,REJ-ABC,0.9931,0.49548507,5.8309517,,0.05735855102539063,8.938546005533013,e3d5d72a-7f76-4baf-b0cb-4835d8adf8fe
bernoulli_glm,10³,10,REJ-ABC,0.9973,0.5200148,33.133415,,0.02346624135971069,8.944553428820901,80aa1b3d-9356-4b6a-bdc3-271404779b8f
lotka_volterra,10⁴,6,REJ-ABC,0.9999,0.56489223,68.15804,,1.2909036000569662,24.3772163928794,2c095202-f15d-4d18-8d08-6bd283f9a6b2
gaussian_mixture,10⁴,10,SMC-ABC,0.71275,0.035239099999999995,0.85514694,,0.03733341296513875,9.862235569750835,67e20495-cb23-4323-8dbe-9d1bd29aea2f
