task,num_simulations,num_observation,algorithm,C2ST,MMD,MEDDIST,NLTP,RT,KSD,folder
gaussian_mixture,10⁵,7,SNLE,0.58115,-0.0005372762700000001,1.0175812,,46.10547281901042,9.56294386881123,43c28af3-dbee-4cd6-9f90-e06835be0058
gaussian_linear,>10⁸,8,SL,0.6587,0.025046706,1.6370955,,11.01128438313802,10.256791445863131,2e1b6a2f-d601-417a-ae41-acf4e2a97a69
gaussian_linear,10⁴,5,NLE,0.5342,0.0017588139000000002,1.316968,,12.757286580403646,8.894117251195597,708a3be2-0f2d-4dfa-9ed9-4532ac1f836e
bernoulli_glm_raw,10³,4,NLE,0.8994,0.22933245,3.4641016,,17.88917236328125,12.696266020759433,34434d63-fd8a-4987-98b0-8be0fdbc1e0f
gaussian_mixture,10⁴,6,NLE,0.71525,0.027877986,1.1279986000000002,,6.120660909016928,8.27638643510901,729edf05-017d-4fec-bf0c-5c613ce02b9b
slcp,10⁴,3,NLE,0.7433,0.04876089,26.301077000000006,,15.747152709960938,12.88021950785793,14f6bf89-de1b-411d-aa2c-f8d2da60e11f
gaussian_linear,10⁵,9,NLE,0.506,0.00027430058,1.3856595,,21.75872192382813,7.3813348195292905,3b268fb3-e3da-43e5-a261-cb4827d232a0
bernoulli_glm,>10⁸,5,SL,0.60225,0.013537407,16.503294,,387.94807942708326,12.600925071145413,ca812d2b-1984-4c9f-a067-ad76f79c5d0b
bernoulli_glm_raw,10³,7,NLE,0.7677,0.10814357,4.8989797,,17.77760213216146,10.593363764305703,0a13bb6f-19fa-4762-819d-56385e055f51
gaussian_mixture,10⁵,6,SNLE,0.58085,0.0037362576,1.0728531,,43.58736979166667,9.58471026282816,9e6bb6d5-f0bb-49b5-a1ed-4ab4c8887f6f
gaussian_linear,10³,2,NLE,0.58015,0.0039958954,1.3900179,,10.799680582682292,9.78502462955873,0b9615a5-3afd-4bce-b36f-4702a2d4ddd4
gaussian_mixture,10⁵,4,NLE,0.88505,0.45619732,7.2670727,,17.42957763671875,14.698024089051545,e8403996-92bb-43f9-b09d-a78374c5ef0e
two_moons,10⁴,10,SNLE,0.58485,-0.0026369095,0.08976236,,8.492685445149739,inf,4636ece2-738d-45f8-9468-0102dce61adb
two_moons,10³,5,SNLE,0.6431,0.00830245,0.101995915,,6.581550598144531,inf,f00cabb0-cb22-4c1c-8095-88ec13787452
two_moons,10⁴,1,SNLE,0.50375,0.0072619915,0.08933294,,8.374628194173177,inf,7809270e-29d5-416a-a9a0-97017a286b13
bernoulli_glm_raw,10³,9,NLE,0.92455,0.280901,3.6055512,,18.15114542643229,11.448160251473222,017da050-2abb-4025-9d2c-ffca7915f9b1
bernoulli_glm,10⁴,2,SNLE,0.54555,0.010553002,11.613753,,30.203678385416666,11.892671180196176,be42488b-9bac-485c-9ea1-1ffecafef386
gaussian_linear,10³,3,NLE,0.59165,0.0052558184,1.439148,,10.634691365559895,10.05391902467684,f48a81bc-a32f-4ba3-9df0-1c152ac26ce0
gaussian_linear_uniform,10⁵,1,SNLE,0.50395,0.00019085407,1.3584353999999998,,89.90139973958334,3.3396836146732825,aab2c4f7-b873-4e0d-bf5a-43362270b425
sir,10⁴,9,NLE,0.6497,0.054023027,28.407745,,14.791156005859374,15.040141505880886,85493447-ae8e-4ef6-819e-743877c9a6dc
slcp,10⁴,10,SNLE,0.64595,0.0037292242,2.1999164,,18.14830118815104,22.402012754891835,a022f3e7-fe9d-43c9-b13b-347ff65d6001
bernoulli_glm_raw,10⁵,7,SNLE,0.9921,0.7238778,4.472136,,174.82311197916667,12.373715368450306,f587b12d-1a48-422d-a356-c66096148579
gaussian_linear_uniform,10³,8,SNLE,0.6683,0.026733875,1.4732323,,26.737611897786454,5.328415343796959,8d2d0142-b37a-4531-a493-d912066ed947
sir,10³,4,SNLE,0.5968,0.024093628,26.981476,,8.133914693196614,14.369182774966701,64c91634-9a60-4110-b1b1-0f9d96bfa941
bernoulli_glm,10⁵,7,SNLE,0.5103,0.0005372762700000001,13.246313,,94.25155436197916,11.805898764159306,19033541-b5a2-4951-b842-6887ccf59df4
two_moons,>10⁸,2,SL,0.7916,0.2277261,0.086312786,,1.9463265736897783,inf,9c0f6130-965c-4f62-8cd5-40497ebbb208
gaussian_mixture,10⁴,4,SNLE,0.599,0.00037920475,1.1241511999999998,,9.55985819498698,11.751100987959898,4f50c780-6611-4d8c-9630-1b8decd88a79
sir,10⁵,8,NLE,0.72045,0.04394281,25.913315,,44.73472493489583,17.804405193124058,9c2787c1-ea0d-4041-bf2e-e9539622c726
bernoulli_glm_raw,10³,5,NLE,0.86425,0.14785576,5.5677643,,17.542218017578126,11.24202066372274,1d03c23a-06c8-4f4e-9f45-694c62d52ce8
bernoulli_glm_raw,10³,8,SNLE,0.99515,0.99218357,3.4641016,,38.6183837890625,11.484787417178936,78f26bd7-71ee-4e90-ad6c-4fee0ca5fea3
sir,10⁵,7,NLE,0.7169,0.035440564,22.989124,,41.07316487630208,17.690907835550448,57aaf627-b227-41d6-8bbd-6fa24a593f50
bernoulli_glm_raw,10⁴,9,NLE,0.9273,0.26537323,3.3166248999999994,,31.13942667643229,11.354640969354394,87871919-dff2-4bbb-b1a6-fb7e6574db7a
bernoulli_glm,10⁵,5,NLE,0.5314,0.0034257174,15.76519,,50.52391764322917,12.683731895586787,73759dc9-bd01-440c-8117-3ecfc13eb382
slcp,10⁴,6,SNLE,0.66955,0.030707479,10.97957,,18.62094523111979,12.473588119706376,c1e4d1c0-9715-4dc9-98c8-b4e059566a32
gaussian_linear_uniform,10⁴,3,NLE,0.58755,0.017596722,1.5495844,,13.985626220703125,5.1700870981031635,5fe4a75b-16f3-41a8-b899-c00ca4e2f4ac
